title,totalScore,url,reviewsCount
Mad Cow Wine & Grill Bandung,"4,9",https://www.google.com/maps/search/?api=1&query=Mad%20Cow%20Wine%20%26%20Grill%20Bandung&query_place_id=ChIJ2X3CpK7naC4RoswIfnzCpoQ,1482
Kimaya Braga Bandung by HARRIS,"4,5",https://www.google.com/maps/search/?api=1&query=Kimaya%20Braga%20Bandung%20by%20HARRIS&query_place_id=ChIJ66PbeC_maC4RMxLwD6swTL0,6515
Brasserie Restaurant,"4,5",https://www.google.com/maps/search/?api=1&query=Brasserie%20Restaurant&query_place_id=ChIJXdTMDy_maC4Rz49FDYP9hHo,4
Garden Restaurant,"4,5",https://www.google.com/maps/search/?api=1&query=Garden%20Restaurant&query_place_id=ChIJ36qbXC_maC4R7TeXl_AHmPM,211
Grand Hotel Preanger,"4,5",https://www.google.com/maps/search/?api=1&query=Grand%20Hotel%20Preanger&query_place_id=ChIJVQy_Fy_maC4RG_emrQUP3B0,7727
Monumen Perjuangan Rakyat Jawa Barat,"4,5",https://www.google.com/maps/search/?api=1&query=Monumen%20Perjuangan%20Rakyat%20Jawa%20Barat&query_place_id=ChIJXRdECE3maC4Rg1r76u45BqI,19617
Museum Geologi,"4,7",https://www.google.com/maps/search/?api=1&query=Museum%20Geologi&query_place_id=ChIJveuvykzmaC4R9jRz_5tzU54,17596
Museum Perbendaharaan,"4,7",https://www.google.com/maps/search/?api=1&query=Museum%20Perbendaharaan&query_place_id=ChIJh5ueQLPnaC4RvheXJtng250,41
Nhame Asia Afrika,"4,8",https://www.google.com/maps/search/?api=1&query=Nhame%20Asia%20Afrika&query_place_id=ChIJR_h5BQDnaC4Rqgc61oviYlU,22
Lengkong Heritage,"4,6",https://www.google.com/maps/search/?api=1&query=Lengkong%20Heritage&query_place_id=ChIJ96yBcgDnaC4RId7M_cSi4S0,67
The Suddha Asia Afrika Bandung,"4,6",https://www.google.com/maps/search/?api=1&query=The%20Suddha%20Asia%20Afrika%20Bandung&query_place_id=ChIJcRFwIy_maC4RMASuPJ_6b_c,235
Raffleshom Hotel,"4,3",https://www.google.com/maps/search/?api=1&query=Raffleshom%20Hotel&query_place_id=ChIJWZl1mCjmaC4ROIn2rLEmOac,1372
Filosofi Kopi Braga,"4,6",https://www.google.com/maps/search/?api=1&query=Filosofi%20Kopi%20Braga&query_place_id=ChIJuQ2BWlfnaC4RrtwSFqJv2lk,345
Point Coffee,"4,3",https://www.google.com/maps/search/?api=1&query=Point%20Coffee&query_place_id=ChIJxSWZbMnnaC4RS95m7lxbj2w,4
Two Hands Full Asia Afrika at Hutanika,"4,4",https://www.google.com/maps/search/?api=1&query=Two%20Hands%20Full%20Asia%20Afrika%20at%20Hutanika&query_place_id=ChIJeQk2Wo_naC4RpsVeVnEHj_s,120
Goedang kopi braga,4,https://www.google.com/maps/search/?api=1&query=Goedang%20kopi%20braga&query_place_id=ChIJh45riFDnaC4RislS52SToTg,52
Rasa Bakery & Cafe,"4,5",https://www.google.com/maps/search/?api=1&query=Rasa%20Bakery%20%26%20Cafe&query_place_id=ChIJAQC0yS_maC4RJwoJ-poaY7k,4801
TOMORO COFFEE - Braga,"4,8",https://www.google.com/maps/search/?api=1&query=TOMORO%20COFFEE%20-%20Braga&query_place_id=ChIJf8ZWOADnaC4RTtTMV-P2BO4,708
RUANGKOPI9,"4,7",https://www.google.com/maps/search/?api=1&query=RUANGKOPI9&query_place_id=ChIJSfCO29DnaC4RQS8YkMHKzhQ,68
Umanari Cafe & Resto,"4,8",https://www.google.com/maps/search/?api=1&query=Umanari%20Cafe%20%26%20Resto&query_place_id=ChIJy1C_fRHnaC4R09YD_qc_72s,2253
Hutanika,"4,7",https://www.google.com/maps/search/?api=1&query=Hutanika&query_place_id=ChIJp0X_gabnaC4RqFlO9JjBX-A,3779
Coffee Freak,"4,6",https://www.google.com/maps/search/?api=1&query=Coffee%20Freak&query_place_id=ChIJyWEdVyjmaC4RxwsFjy3IaYo,53
Kantina - Coffee & Space,"4,7",https://www.google.com/maps/search/?api=1&query=Kantina%20-%20Coffee%20%26%20Space&query_place_id=ChIJ1_7fz1rnaC4RHA93BjIxErM,14
Indomaret Point Hotel Preanger,"4,7",https://www.google.com/maps/search/?api=1&query=Indomaret%20Point%20Hotel%20Preanger&query_place_id=ChIJc-RV4QvnaC4RewC5aEYwMyU,40
Bagi Kopi Signature Naripan,"4,6",https://www.google.com/maps/search/?api=1&query=Bagi%20Kopi%20Signature%20Naripan&query_place_id=ChIJJT5inATnaC4R8txAioJrpTY,331
Teras Cafe,"3,8",https://www.google.com/maps/search/?api=1&query=Teras%20Cafe&query_place_id=ChIJ9TlcZRTnaC4REXd2bYsl3bs,26
Aming Coffee Naripan,"4,7",https://www.google.com/maps/search/?api=1&query=Aming%20Coffee%20Naripan&query_place_id=ChIJ-TBO_27naC4RkGj6c4Y19w8,302
Kanigara,"4,9",https://www.google.com/maps/search/?api=1&query=Kanigara&query_place_id=ChIJyRUhIgDnaC4RDA8HCASGJbw,174
Umbira,"4,5",https://www.google.com/maps/search/?api=1&query=Umbira&query_place_id=ChIJF_aYv8vnaC4RVXGU4zb8XRU,1244
Ngafee,"4,8",https://www.google.com/maps/search/?api=1&query=Ngafee&query_place_id=ChIJk8sdVJrnaC4RndjRXWWDlbU,77
Stocker House,"4,5",https://www.google.com/maps/search/?api=1&query=Stocker%20House&query_place_id=ChIJRU4gSavnaC4R9fTzZVSdPpY,113
